1,4,2
1,5,2
1,37,2
1,14,2
1,18,1
1,22,1
1,30,2
1,38,1
1,44,1
1,46,1
4,3,2
4,10,2
4,14,2
4,23,2
4,36,2
4,46,2
4,49,1
4,6,1
5,6,2
5,14,2
5,24,2
5,15,2
5,23,2
5,35,1
37,11,1
37,50,2
37,39,1
2,15,2
2,25,2
2,51,2
2,3,2
2,6,1
2,22,1
15,11,2
15,14,2
15,6,1
15,7,2
15,17,1
15,23,1
15,25,1
15,46,2
15,51,1
15,16,2
15,22,1
15,29,1
15,31,1
15,38,1
15,43,1
15,45,1
15,47,1
15,49,1
15,50,1
15,53,1
25,49,1
25,51,1
25,38,1
51,24,1
51,41,1
51,14,1
3,9,2
3,16,2
3,36,2
3,22,1
3,38,1
9,41,1
9,50,2
9,11,2
16,7,2
16,14,2
16,19,1
16,26,1
16,45,1
36,32,2
36,7,2
36,11,1
36,23,1
36,24,1
36,29,1
36,45,1
36,47,1
36,50,2
36,38,1
14,6,2
14,11,2
14,23,1
14,46,2
14,26,1
14,30,2
14,31,1
14,50,1
14,52,1
23,18,1
23,46,1
23,29,1
23,38,1
23,39,1
23,42,1
23,43,1
46,18,2
46,26,1
46,30,2
46,43,1
46,50,1
46,52,1
49,22,1
49,38,1
49,11,1
49,30,1
49,41,1
49,42,1
49,45,1
6,22,1
24,21,1
24,41,1
24,31,1
7,11,2
11,28,1
11,18,1
11,22,1
11,38,1
41,13,1
41,21,1
41,22,1
41,31,1
41,38,1
41,45,1
41,53,1
50,30,2
12,44,1
44,22,1
44,45,1
17,38,1
17,42,1
17,43,1
17,47,1
19,52,1
18,38,1
18,39,1
38,39,1
39,33,1
21,22,1
22,33,1
22,45,1
27,33,1
30,31,1
30,53,1
31,45,1
45,42,1
52,53,1
