179,1
254,2
3274,1
324,2
1105,1
3041,2
2636,2
1171,2
3042,1
452,1
683,1
801,1
152,2
3047,2
144,1
634,1
1084,1
989,2
737,1
914,1
671,1
56,1
607,1
6506,1
2272,1
1418,2
97,1
781,1
20,1
791,1
102,1
1984,1
1535,1
3048,2
743,1
797,1
960,1
80,1
482,1
3195,1
917,1
28,1
837,1
6669,1
879,1
754,1
1108,1
1955,1
672,1
66,1
98,2
240,2
55,1
127,2
253,1
3841,2
5563,1
495,2
508,2
613,1
467,1
804,2
811,2
569,1
836,1
454,1
192,1
32,1
114,1
138,1
374,1
113,1
881,1
729,1
86,2
1116,2
110,1
212,1
2472,2
1294,1
1366,2
204,1
155,1
1503,1
1523,1
973,1
4878,1
184,1
570,1
1203,2
1645,2
1093,1
1456,1
868,2
6263,2
190,2
546,1
1131,1
2110,1
2143,2
951,1
2266,1
2274,1
682,1
134,1
118,1
471,1
262,2
2401,2
1000,1
2467,1
394,1
844,1
679,1
621,1
1256,1
925,1
244,2
629,1
170,1
971,1
2239,2
3105,2
3109,1
516,1
3193,1
2107,2
69,1
1434,1
2998,1
723,1
955,1
5810,1
5400,1
128,1
2722,1
85,1
941,1
6609,1
2987,1
198,1
6907,1
628,1
458,1
938,2
475,1
2124,1
1110,1
54,1
999,1
6973,2
2443,1
985,1
2061,1
6418,2
4104,2
3025,1
907,1
3203,1
7043,2
6894,1
432,2
1192,1
300,1
1369,1
96,1
1731,1
122,2
3392,2
5685,1
3906,1
5785,1
3065,2
536,1
2391,1
4,1
27,1
1406,1
2067,1
1024,1
3511,1
3365,1
799,1
4711,1
3093,2
889,1
2316,1
969,1
3117,1
6700,1
6939,2
7376,1
6395,2
3307,2
7386,1
229,2
6638,1
2754,1
1193,2
738,1
554,2
6984,2
3708,1
964,1
7398,1
153,1
507,1
7369,2
2850,1
133,1
2708,1
882,2
720,1
7385,1
461,1
363,1
1742,1
1925,2
206,1
3641,1
6362,1
71,1
149,1
166,1
182,1
223,2
267,1
351,1
456,1
777,2
792,1
64,1
918,1
982,1
800,1
129,1
610,2
1198,2
1199,1
1270,2
1272,2
50,1
1477,2
1511,2
1502,1
573,2
1601,1
646,2
101,2
1664,2
137,1
1828,1
49,1
6517,1
1499,1
915,1
4246,2
725,1
1073,1
2119,1
2144,1
126,1
260,1
2243,2
2337,1
1268,2
492,1
2622,2
2663,2
2718,1
136,1
4824,1
2845,2
145,1
3029,2
1810,2
735,1
742,1
3171,2
124,2
2594,2
3281,1
6398,2
1352,2
3293,1
7,2
100,1
5238,2
1459,2
6906,1
1011,1
3194,1
4455,2
93,2
1538,1
1176,2
3482,1
2907,1
6985,2
1141,2
215,1
2291,1
3044,1
288,2
6560,1
154,1
7258,1
1404,1
5442,1
2539,2
383,1
815,1
309,1
583,2
472,1
1357,2
2707,1
45,1
7269,2
1167,1
453,1
1113,1
161,2
6488,1
4301,2
